img;act_class
IMG_3286.jpg;planetarium, cinema, movie theater, movie theatre, movie house, picture palace, restaurant, eating house, eating place, eatery, window shade, stage
IMG_4936.jpg;shoe shop, shoe-shop, shoe store, electric guitar, microphone, mike, restaurant, eating house, eating place, eatery, accordion, piano accordion, squeeze box
IMG_3090.jpg;television, television system, oscilloscope, scope, cathode-ray oscilloscope, CRO, monitor, screen, CRT screen, digital clock
IMG_20141118_123454075.jpg;park bench, worm fence, snake fence, snake-rail fence, Virginia fence, stone wall, barn, picket fence, paling
IMG_3195.jpg;park bench, sax, saxophone, binoculars, field glasses, opera glasses, cornet, horn, trumpet, trump, accordion, piano accordion, squeeze box
IMG_3905.jpg;maze, labyrinth, pinwheel, park bench, mailbox, letter box, crutch
IMG_3929.jpg;park bench, worm fence, snake fence, snake-rail fence, Virginia fence, greenhouse, nursery, glasshouse, ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin, chainlink fence
IMG_3302.jpg;cinema, movie theater, movie theatre, movie house, picture palace, restaurant, eating house, eating place, eatery, stage, folding chair, theater curtain, theatre curtain
IMG_3389.jpg;shoji, sliding door, prison, prison house, turnstile, patio, terrace
IMG_4445.jpg;picket fence, paling, park bench, stone wall, fountain, obelisk
IMG_4058.jpg;military uniform, rugby ball, accordion, piano accordion, squeeze box, bow tie, bow-tie, bowtie, shovel
2016-07-09 15.47.34.jpg;greenhouse, nursery, glasshouse, prison, prison house, pier, bannister, banister, balustrade, balusters, handrail, church, church building
IMG_5191.JPG;restaurant, eating house, eating place, eatery, wine bottle, beer bottle, cinema, movie theater, movie theatre, movie house, picture palace, turnstile
IMG_3961.jpg;fountain, suspension bridge, castle, tripod, pedestal, plinth, footstall
61b5645c5065fe276379bc73969b4c94.jpg;spotlight, spot, bannister, banister, balustrade, balusters, handrail, traffic light, traffic signal, stoplight, umbrella, lampshade, lamp shade
IMG_5131.JPG;grand piano, grand, television, television system, window shade, lampshade, lamp shade, cinema, movie theater, movie theatre, movie house, picture palace
IMG_5379.JPG;restaurant, eating house, eating place, eatery, steel drum, cinema, movie theater, movie theatre, movie house, picture palace, wine bottle, folding chair
IMG_20160618_130033.jpg;mask, running shoe, pineapple, ananas, coil, spiral, volute, whorl, helix, knot
IMG_3888.jpg;prison, prison house, fountain, church, church building, cinema, movie theater, movie theatre, movie house, picture palace, picket fence, paling
IMG_4452.jpg;tripod, fountain, stage, torch, military uniform
IMG_5145.JPG;stage, restaurant, eating house, eating place, eatery, cinema, movie theater, movie theatre, movie house, picture palace, motor scooter, scooter, spotlight, spot
IMG_3194.jpg;park bench, accordion, piano accordion, squeeze box, binoculars, field glasses, opera glasses, swing, television, television system
IMG_4534.jpg;palace, prison, prison house, monastery, greenhouse, nursery, glasshouse, castle
IMG_20160527_153932696.jpg;laptop, laptop computer, lampshade, lamp shade, notebook, notebook computer, spotlight, spot, iron, smoothing iron
2015-08-17 19.08.37.jpg;abaya, cloak, lampshade, lamp shade, umbrella, spotlight, spot
IMG_3260.jpg;maraca, microphone, mike, accordion, piano accordion, squeeze box, French horn, horn, sax, saxophone
IMG_5161.JPG;cello, violoncello, bassoon, oboe, hautboy, hautbois, French horn, horn, sax, saxophone
IMG_5143.JPG;stage, wine bottle, cinema, movie theater, movie theatre, movie house, picture palace, beer bottle, restaurant, eating house, eating place, eatery
IMG_4703.jpg;greenhouse, nursery, glasshouse, chainlink fence, park bench, worm fence, snake fence, snake-rail fence, Virginia fence, folding chair
IMG_5159.JPG;restaurant, eating house, eating place, eatery, grand piano, grand, window shade, violin, fiddle, shoji
IMG_3398.jpg;window shade, restaurant, eating house, eating place, eatery, theater curtain, theatre curtain, sliding door, prison, prison house
Screenshot_2016-07-20-11-26-06-1.png;skunk, polecat, wood pussy, badger, giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca, English springer, English springer spaniel, quill, quill pen
2015-10-31 16.49.47.jpg;wine bottle, shoe shop, shoe-shop, shoe store, computer keyboard, keypad, shopping cart, horizontal bar, high bar
IMG_20160711_220813.jpg;Egyptian cat, tabby, tabby cat, bow tie, bow-tie, bowtie, tiger cat, lynx, catamount
inclusive-sport-canoeist.jpg;go-kart, stethoscope, maraca, lawn mower, mower, joystick
index.jpe;tractor, bicycle-built-for-two, tandem bicycle, tandem, moped, mountain bike, all-terrain bike, off-roader, car mirror
